Name,Nickname,Born Year,Age,From,Height (m),Weight (kg),Weight Class,Style,Stance,Tradition (Kun Krou),Gym,Trainer(s),Wins (Career),Losses (Career),Draws (Career),TKOs (Career),+W (Log),+L (Log),+D (Log),+TKO (Log),Total Wins,Total Losses,Total Draws,Total TKOs,Total Fights,Win %,TKO Win %,Last Updated,Profile,Helper · Win % (filtered),Helper · TKO % (filtered),Helper · Fights,Helper · Wins,Helper · TKOs,Helper · Losses
Long Samnang,Chungkung Peus (the Venomous Knee),1998,28,Tbaung Khmum,1.71,65.0,Welterweight (≤67kg),Kun Khmer,Orthodox,Rumleuk Kun Krou (Honoring the Master),Neakareach Chaktomuck,Svay Sokhon,133,28,3,34,-,-,-,-,133,28,3,34,164,81.1%,25.6%,2026-03-15,Profile,81.1%,25.6%,164,133,34,28
Long Piseth,Kandol Chraek Dei (The Subterranean Scuttler),2007,19,Svay Rieng,1.65,51.0,Flyweight (≤51kg),Kun Khmer,Orthodox,Entri Samdaeng Rithi (Eagle showing off its Might),Klarokhen Mean Rithi,Mr. Ricky,92,17,10,44,-,-,-,-,92,17,10,44,119,77.3%,47.8%,2026-03-15,Profile,77.3%,47.8%,119,92,44,17
Long Chin,Khlarokhen Kamnach (the Fierce Panther),2000,26,Kandal,1.69,60.0,Lightweight (≤60kg),"Kun Khmer, Pradal Serey",Orthodox,,Klarokhen Mean Rithi,Mr. Ricky,111,33,6,32,-,-,-,-,111,33,6,32,150,74.0%,28.8%,2026-03-29,Profile,74.0%,28.8%,150,111,32,33
Long Benloeurn,Khla Khmao Muk Sros (The Black Tiger),1999,27,Kampot,1.70,63.5,Light Welter (≤63.5kg),Kun Khmer,Orthodox,Entri Samdaeng Rithi (Eagle showing off its Might),Neakareach Chaktomuck,Svay Sokhonn,108,23,4,42,-,-,-,-,108,23,4,42,135,80.0%,38.9%,2026-03-14,Profile,80.0%,38.9%,135,108,42,23
Long Ada,,2006,20,Kandal,1.72,65.0,Welterweight (≤67kg),Kun Khmer,Orthodox,Entri Samdaeng Rithi (Eagle showing off its Might),Klarokhen Mean Rithi,Mr. Ricky,45,9,3,21,-,-,-,-,45,9,3,21,57,78.9%,46.7%,2026-03-15,Profile,78.9%,46.7%,57,45,21,9
Long Achhaet,,2003,23,Kandal,1.73,63.5,Light Welter (≤63.5kg),Kun Khmer,Orthodox,Entri Samdaeng Rithi (Eagle showing off its Might),Klarokhen Mean Rithi,Mr. Ricky,102,35,6,32,-,-,-,-,102,35,6,32,143,71.3%,31.4%,2025-04-14,Profile,71.3%,31.4%,143,102,32,35
Leap Ratha,Nak Leng Kandab Dai Thmor (the Stone Fist Fighter),2000,26,Banteay Mean Chey,1.64,57.0,Featherweight (≤57kg),Kun Khmer,Orthodox,Preah Lak Poit Seima (Lakshmana drawing protective circle),Rasmey Phum Keap Boxing,Heng Bunkhim,63,20,6,34,-,-,-,-,63,20,6,34,89,70.8%,54.0%,2026-03-28,Profile,70.8%,54.0%,89,63,34,20
Lao Sayneth,Chungkung Pikheat Kaeng Chhes,2006,20,Kampong Speu,1.65,51.0,Flyweight (≤51kg),Kun Khmer,Southpaw,,Special Forces Command 911,Hang Soeurn,80,9,3,41,-,-,-,-,80,9,3,41,92,87.0%,51.3%,2026-03-21,Profile,87.0%,51.2%,92,80,41,9
Lao Rachana,,2002,24,Kampong Speu,1.68,60.0,Lightweight (≤60kg),Kun Khmer,Orthodox,,Special Forces Command 911,Hang Makhen,44,8,2,15,-,-,-,-,44,8,2,15,54,81.5%,34.1%,2026-03-20,Profile,81.5%,34.1%,54,44,15,8
Lao Chetra,,1999,27,Kampong Speu,1.73,60.0,Lightweight (≤60kg),Kun Khmer,Southpaw,,Special Forces Command 911,Hang Soeun,105,13,5,50,-,-,-,-,105,13,5,50,123,85.4%,47.6%,2026-03-22,Profile,85.4%,47.6%,123,105,50,13
